,index,highest charting position,number of times charted,song name,streams,artist,artist followers,genre,release date,weeks charted,danceability,energy,loudness,speechiness,acousticness,liveness,tempo,valence,chord,popularity
1370,1371,184,1,100k Cash,"5,192,813","Capital Bra, Samra",4093115.0,['german hip hop'],2020-02-27 00:00:00,2020-02-28--2020-03-06,0.701,0.714,-5.906,0.524,0.289,0.0883,86.91,0.604,A#/Bb,52.0
1371,1372,185,1,Drown (feat. Clinton Kane),"5,186,141",Martin Garrix,14921269.0,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']",2020-02-27 00:00:00,2020-02-28--2020-03-06,0.573,0.739,-5.455,0.0581,0.212,0.175,120.077,0.363,A,74.0
1372,1373,103,7,me & ur ghost,"5,184,069",blackbear,4272745.0,"['electropop', 'pop', 'pop rap']",2020-08-21 00:00:00,"2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24",0.742,0.679,-4.594,0.0259,0.0488,0.0754,100.041,0.856,G,71.0
1373,1374,146,8,QUE PRETENDES,"5,141,047","J Balvin, Bad Bunny",29067437.0,"['latin', 'reggaeton', 'reggaeton colombiano']",2019-06-28 00:00:00,"2020-02-28--2020-03-06
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",0.639,0.791,-4.443,0.253,0.0275,0.362,92.603,0.939,A#/Bb,77.0
1374,1375,140,9,You Need To Calm Down,"5,115,153",Taylor Swift,42227614.0,"['pop', 'post-teen pop']",2019-08-23 00:00:00,"2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",0.771,0.671,-5.617,0.0553,0.00929,0.0637,85.026,0.714,D,78.0
1375,1376,90,10,Quizas,"5,112,244","Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion",206225.0,"['latin', 'reggaeton', 'trap latino']",2019-10-11 00:00:00,"2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",0.727,0.815,-2.454,0.153,0.0258,0.231,176.075,0.677,D#/Eb,73.0
1376,1377,106,10,Soltera - Remix,"5,078,459","Lunay, Daddy Yankee, Bad Bunny",4963516.0,"['latin', 'latin pop', 'reggaeton', 'reggaeton flow', 'trap latino']",2019-05-10 00:00:00,"2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",0.795,0.783,-4.271,0.0432,0.361,0.437,92.01,0.799,F,75.0
1377,1378,46,9,Trampoline (with ZAYN),"5,075,520",SHAED,139434.0,"['electropop', 'pop']",2019-09-26 00:00:00,"2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10",0.619,0.459,-5.782,0.0334,0.56,0.137,126.803,0.498,G,73.0
1378,1379,82,10,Truth Hurts,"5,024,683",Lizzo,3991674.0,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'pop rap', 'post-teen pop', 'trap queen']",2019-04-19 00:00:00,"2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",0.715,0.624,-3.046,0.114,0.11,0.123,158.087,0.412,E,77.0
1379,1380,91,10,bury a friend,"5,020,303",Billie Eilish,1251372.0,[],2021-08-13 00:00:00,"2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",0.887,0.388,-14.505,0.349,0.739,0.106,120.035,0.205,G#/Ab,1.0
1380,1381,54,1,Louder than bombs,"10,016,907",BTS,37151476.0,"['k-pop', 'k-pop boy group']",2020-02-21 00:00:00,2020-02-21--2020-02-28,0.643,0.667,-6.993,0.152,0.0433,0.0904,145.999,0.485,C,72.0
1381,1382,56,1,UGH!,"9,991,177",BTS,37151476.0,"['k-pop', 'k-pop boy group']",2020-02-21 00:00:00,2020-02-21--2020-02-28,0.72,0.824,-5.086,0.128,0.0394,0.0509,165.998,0.333,A#/Bb,72.0
1382,1383,67,1,00:00 (Zero O’Clock),"9,372,219",BTS,37151476.0,"['k-pop', 'k-pop boy group']",2020-02-21 00:00:00,2020-02-21--2020-02-28,0.566,0.548,-6.456,0.0579,0.0802,0.11,157.999,0.196,C#/Db,72.0
1383,1384,74,1,Friends,"8,822,365",BTS,37151476.0,"['k-pop', 'k-pop boy group']",2020-02-21 00:00:00,2020-02-21--2020-02-28,0.55,0.747,-5.211,0.0407,0.0668,0.0536,79.98,0.648,C#/Db,72.0
1384,1385,75,1,We are Bulletproof : the Eternal,"8,516,710",BTS,37151476.0,"['k-pop', 'k-pop boy group']",2020-02-21 00:00:00,2020-02-21--2020-02-28,0.526,0.575,-5.215,0.0309,0.225,0.108,84.047,0.19,A,72.0
