,energy,danceability,speechiness,acousticness,liveness,valence
302,0.623,0.917,0.135,0.0985,0.0833,0.687
303,0.934,0.614,0.07,0.0697,0.121,0.436
304,0.719,0.831,0.235,0.514,0.0675,0.859
305,0.485,0.965,0.191,0.0206,0.0655,0.312
306,0.712,0.734,0.201,0.391,0.103,0.674
307,0.629,0.87,0.279,0.173,0.101,0.512
308,0.34,0.889,0.0697,0.218,0.055,0.716
309,0.637,0.811,0.0591,0.234,0.118,0.471
310,0.668,0.75,0.061,0.78,0.338,0.786
311,0.828,0.507,0.0449,0.00711,0.261,0.489
312,0.636,0.551,0.054,0.0837,0.112,0.148
313,0.466,0.522,0.458,0.331,0.11,0.459
314,0.855,0.672,0.0397,0.021,0.323,0.646
315,0.65,0.596,0.337,0.138,0.14,0.188
316,0.831,0.591,0.0355,0.235,0.0571,0.678
317,0.65,0.596,0.337,0.138,0.14,0.188
318,0.836,0.584,0.079,0.0558,0.0663,0.484
319,0.713,0.725,0.187,0.127,0.617,0.207
320,0.659,0.807,0.332,0.0224,0.309,0.438
321,0.485,0.887,0.2,0.0392,0.141,0.328
322,0.632,0.736,0.0648,0.18,0.349,0.503
323,0.838,0.448,0.0557,0.21,0.131,0.254
324,0.678,0.363,0.0995,0.0299,0.324,0.321
325,0.666,0.863,0.152,0.212,0.103,0.838
326,0.398,0.964,0.0795,0.00151,0.101,0.563
327,0.73,0.924,0.274,0.0525,0.113,0.848
328,0.789,0.81,0.0498,0.0254,0.104,0.432
329,0.529,0.671,0.307,0.0769,0.0856,0.203
330,0.545,0.663,0.036,0.123,0.106,0.344
331,0.862,0.645,0.0965,0.0923,0.192,0.798
332,0.725,0.747,0.363,0.551,0.0626,0.904
333,0.745,0.808,0.342,0.145,0.292,0.829
334,0.554,0.774,0.0383,0.207,0.132,0.349
335,0.495,0.864,0.037,0.591,0.0992,0.72
336,0.704,0.673,0.36,0.196,0.0898,0.372
337,0.62,0.852,0.227,0.359,0.101,0.744
338,0.574,0.77,0.106,0.0617,0.104,0.104
339,0.387,0.429,0.0753,0.000178,0.142,0.41
340,0.709,0.499,0.134,0.296,0.331,0.314
341,0.337,0.447,0.0631,0.773,0.298,0.603
342,0.856,0.588,0.0316,0.000818,0.238,0.635
343,0.89,0.687,0.0344,0.00396,0.0436,0.854
344,0.793,0.713,0.397,0.271,0.727,0.203
345,0.867,0.573,0.168,0.0853,0.38,0.231
346,0.955,0.571,0.105,0.00254,0.274,0.437
347,0.737,0.527,0.0642,0.05,0.105,0.499
348,0.814,0.847,0.152,0.0825,0.0948,0.711
349,0.625,0.583,0.277,0.506,0.196,0.516
350,0.594,0.781,0.0485,0.0136,0.162,0.0628
351,0.571,0.597,0.293,0.492,0.093,0.165
352,0.929,0.637,0.0491,0.00167,0.344,0.902
353,0.365,0.534,0.033,0.81,0.158,0.237
354,0.639,0.808,0.279,0.0802,0.15,0.395
355,0.749,0.636,0.0631,0.195,0.107,0.653
356,0.621,0.798,0.0391,0.0141,0.0926,0.443
357,0.664,0.7,0.0394,0.306,0.249,0.585
358,0.759,0.699,0.311,0.0814,0.312,0.404
359,0.647,0.711,0.0822,0.334,0.312,0.227
360,0.74,0.769,0.378,0.197,0.171,0.692
361,0.632,0.618,0.346,0.0526,0.353,0.319
362,0.703,0.563,0.0702,0.126,0.213,0.294
363,0.587,0.597,0.137,0.0622,0.214,0.0753
364,0.469,0.655,0.0292,0.173,0.0956,0.467
365,0.748,0.83,0.162,0.354,0.0992,0.523
366,0.788,0.739,0.0731,0.0513,0.282,0.473
367,0.856,0.495,0.0311,0.000219,0.103,0.609
368,0.267,0.567,0.0299,0.839,0.089,0.0592
369,0.83,0.828,0.047,0.348,0.0613,0.422
370,0.837,0.824,0.107,0.573,0.271,0.58
371,0.8,0.773,0.0987,0.0613,0.0327,0.842
372,0.239,0.631,0.0398,0.864,0.116,0.0927
373,0.744,0.72,0.12,0.237,0.255,0.619
374,0.473,0.464,0.129,0.866,0.109,0.604
375,0.721,0.757,0.0691,0.00196,0.647,0.364
376,0.674,0.883,0.357,0.21,0.0678,0.73
377,0.225,0.704,0.0994,0.901,0.106,0.243
378,0.655,0.664,0.0461,0.059,0.17,0.13
379,0.819,0.553,0.257,0.368,0.0915,0.761
380,0.511,0.81,0.164,0.12,0.0832,0.837
381,0.415,0.813,0.0349,0.777,0.131,0.667
382,0.609,0.676,0.481,0.0706,0.152,0.508
383,0.739,0.863,0.153,0.0289,0.0931,0.547
384,0.613,0.65,0.128,0.00336,0.267,0.0804
385,0.689,0.728,0.0725,0.293,0.109,0.431
386,0.796,0.808,0.0305,0.462,0.155,0.799
387,0.789,0.788,0.124,0.397,0.226,0.867
388,0.814,0.625,0.0657,0.0172,0.158,0.535
389,0.692,0.685,0.0457,0.328,0.153,0.578
390,0.789,0.686,0.126,0.322,0.4,0.822
391,0.734,0.748,0.124,0.524,0.0975,0.368
392,0.701,0.89,0.342,0.00306,0.0895,0.505
393,0.848,0.517,0.0521,0.00581,0.214,0.429
394,0.56,0.8,0.261,0.057,0.134,0.45
395,0.444,0.877,0.172,0.24,0.169,0.658
396,0.604,0.732,0.0443,0.0112,0.219,0.732
397,0.607,0.311,0.11,0.0174,0.131,0.286
398,0.817,0.66,0.0521,0.162,0.0667,0.714
399,0.103,0.484,0.0627,0.979,0.0895,0.194
400,0.548,0.503,0.164,0.0751,0.145,0.441
401,0.512,0.538,0.0262,0.22,0.101,0.12
402,0.538,0.759,0.384,0.151,0.126,0.831
403,0.575,0.88,0.163,0.415,0.109,0.671
404,0.821,0.823,0.166,0.31,0.143,0.791
405,0.543,0.595,0.038,0.127,0.0975,0.109
406,0.422,0.615,0.0504,0.604,0.112,0.185
407,0.593,0.841,0.0379,0.418,0.124,0.808
408,0.491,0.399,0.0538,0.0563,0.11,0.151
409,0.509,0.443,0.0536,0.615,0.472,0.69
410,0.485,0.311,0.0365,0.701,0.0726,0.225
411,0.383,0.652,0.0516,0.0676,0.0828,0.549
412,0.719,0.667,0.0346,0.00285,0.0736,0.717
413,0.613,0.74,0.145,0.258,0.123,0.473
414,0.576,0.616,0.0532,0.0723,0.375,0.269
415,0.559,0.782,0.0767,0.125,0.385,0.685
416,0.28,0.612,0.0434,0.932,0.088,0.387
417,0.758,0.772,0.0482,0.0433,0.295,0.654
418,0.637,0.734,0.141,0.0462,0.0602,0.648
419,0.621,0.953,0.221,0.017,0.0398,0.883
420,0.703,0.851,0.303,0.00949,0.0895,0.596
421,0.792,0.627,0.031,0.13,0.0845,0.415
422,0.763,0.758,0.0768,0.23,0.0703,0.854
423,0.932,0.593,0.0526,0.302,0.133,0.913
424,0.574,0.392,0.17,0.833,0.145,0.529
425,0.631,0.691,0.0368,0.0483,0.104,0.8
426,0.324,0.641,0.0299,0.698,0.328,0.273
427,0.646,0.754,0.317,0.152,0.108,0.429
428,0.773,0.632,0.0346,0.0623,0.0885,0.474
429,0.741,0.569,0.0282,0.0122,0.333,0.43
430,0.899,0.761,0.183,0.0135,0.0719,0.673
431,0.646,0.559,0.0272,0.116,0.32,0.289
432,0.732,0.402,0.0484,0.0033,0.108,0.472
433,0.496,0.589,0.0377,0.818,0.101,0.44
434,0.571,0.788,0.0296,0.106,0.0934,0.797
435,0.517,0.423,0.0486,0.369,0.177,0.366
436,0.821,0.598,0.0447,0.0231,0.143,0.673
437,0.626,0.506,0.0287,0.156,0.228,0.321
